date,series_id,series_group,return
2017-07-01,ew_dow30,baseline,0.023858584841637942
2017-07-01,t_bill,baseline,0.000804761732772219
2017-07-01,dia,baseline,0.026725904943922796
2017-07-01,buy_hold_start,baseline,0.025987168267473937
2017-08-01,momentum,strategy,0.009264587311908714
2017-08-01,mean_reversion,strategy,-0.014086781221781863
2017-08-01,ew_dow30,baseline,-0.0009275166860459594
2017-08-01,t_bill,baseline,0.0008130212763290956
2017-08-01,dia,baseline,0.006193198665945587
2017-08-01,buy_hold_start,baseline,0.00201595688170908
2017-09-01,momentum,strategy,0.04624470490995253
2017-09-01,mean_reversion,strategy,-0.014564755766531157
2017-09-01,ew_dow30,baseline,0.024778387317589745
2017-09-01,t_bill,baseline,0.0008212800701348222
2017-09-01,dia,baseline,0.021692870523896346
2017-09-01,buy_hold_start,baseline,0.024573024900867102
2017-10-01,momentum,strategy,0.055277476617320125
2017-10-01,mean_reversion,strategy,-0.05764528531526725
2017-10-01,ew_dow30,baseline,0.03217133721912058
2017-10-01,t_bill,baseline,0.0008295381143461622
2017-10-01,dia,baseline,0.04465517079529491
2017-10-01,buy_hold_start,baseline,0.03661354344288181
2017-11-01,momentum,strategy,0.047696412400713636
2017-11-01,mean_reversion,strategy,-0.05152637541570271
2017-11-01,ew_dow30,baseline,0.03805847275204788
2017-11-01,t_bill,baseline,0.0009038268036565267
2017-11-01,dia,baseline,0.04191385252027047
2017-11-01,buy_hold_start,baseline,0.039502689933783364
2017-12-01,momentum,strategy,0.04177575024517655
2017-12-01,mean_reversion,strategy,-0.02346744422378
2017-12-01,ew_dow30,baseline,0.020967374236080083
2017-12-01,t_bill,baseline,0.0009945418011421125
2017-12-01,dia,baseline,0.021027855165112852
2017-12-01,buy_hold_start,baseline,0.022503249537779935
2018-01-01,momentum,strategy,0.08465406106714318
2018-01-01,mean_reversion,strategy,-0.05918200346824132
2018-01-01,ew_dow30,baseline,0.05025304423352894
2018-01-01,t_bill,baseline,0.0010769315803613733
2018-01-01,dia,baseline,0.05742150818328562
2018-01-01,buy_hold_start,baseline,0.05469271052558011
2018-02-01,momentum,strategy,-0.07523400373264931
2018-02-01,mean_reversion,strategy,0.01918916602940368
2018-02-01,ew_dow30,baseline,-0.049413248910513574
2018-02-01,t_bill,baseline,0.0011427897418148092
2018-02-01,dia,baseline,-0.04054195863757648
2018-02-01,buy_hold_start,baseline,-0.04234573009492382
2018-03-01,momentum,strategy,-0.04388097022160953
2018-03-01,mean_reversion,strategy,0.032046061745076626
2018-03-01,ew_dow30,baseline,-0.02110591086031821
2018-03-01,t_bill,baseline,0.0013565002539417392
2018-03-01,dia,baseline,-0.03340990656793985
2018-03-01,buy_hold_start,baseline,-0.025769517035873712
2018-04-01,momentum,strategy,0.053839248524935365
2018-04-01,mean_reversion,strategy,-0.0032072050716658307
2018-04-01,ew_dow30,baseline,0.01217949359638304
2018-04-01,t_bill,baseline,0.0013729187604643034
2018-04-01,dia,baseline,0.0011165936700392454
2018-04-01,buy_hold_start,baseline,0.011379963795807635
2018-05-01,momentum,strategy,0.06413133349637211
2018-05-01,mean_reversion,strategy,0.008333757138815123
2018-05-01,ew_dow30,baseline,0.006114397194387999
2018-05-01,t_bill,baseline,0.001413952076399605
2018-05-01,dia,baseline,0.013781724863647815
